Source,Tags,Title,Status,URL,Example URL,License,Format,Comments,,
,,,,,,,,,,
Mikrozensus Verkehr und Mobilität (CH),"Micro census traffic, mobility","soziodemografische Daten (Alter, Geschlecht, Ausbildung, beruflicher Status usw. 
Besitz von Fahrzeugen, Führerausweisen und ÖV-Abonnementen
tägliche Mobilität (Anzahl Wege, Zeitaufwand, Distanzen, Verkehrszwecke & Verkehrsmittelnutzung

Main page
There are no restricted tables or limited information

",,https://www.bfs.admin.ch/bfs/de/home/statistiken/mobilitaet-verkehr/personenverkehr/verkehrsverhalten.html,,,,Tabellen – Erhebung alle 5 Jahre (Daten aus dem Jahr 2015),,
Mikrozensus Verkehr und Mobilität (CH),"Micro census traffic, mobility",overview publications,,https://www.bfs.admin.ch/bfs/de/home/statistiken/mobilitaet-verkehr/personenverkehr/verkehrsverhalten.assetdetail.1840477.html,,,,,,
Mikrozensus Verkehr und Mobilität (CH),"Micro census traffic, mobility",tables,,https://www.bfs.admin.ch/bfs/de/home/statistiken/mobilitaet-verkehr/personenverkehr/verkehrsverhalten/tabellen-2015/hauptbericht.html,,,,,,
,,,,,,,,,,
Bundesamt für Statistik,,,,https://www.bfs.admin.ch/bfs/de/home/statistiken.html,,,,,,
Bundesamt für Statistik,Mobilität,Pendlermobilität,,https://www.bfs.admin.ch/bfs/de/home/statistiken/mobilitaet-verkehr/personenverkehr/pendlermobilitaet.html,,,, Hierzu liegt auch ein zur Verfügung gestelltes Datenpaket des BFS vor,,
Bundesamt für Statistik,Energie kennzahlen,"Energie
Importe/Exporte
Stromerzeugung
Enedenergieverbrauch nach Energieträgern
Endverbraucherausgaben für Energie",,https://www.bfs.admin.ch/bfs/de/home/statistiken/energie.html,,,,"Karten, Tabellen, Grafiken",,
Bundesamt für Statistik,Mobilität,"Mobilität/Verkehr
Personenverkehr
Güterverkehr
Verkehrsinfrastruktur und Fahrzeuge",,https://www.bfs.admin.ch/bfs/de/home/statistiken/mobilitaet-verkehr.html,,,,"Karten, Tabellen, Grafiken",,
Bundesamt für Statistik,Mobilität,Mobilität/Verkehr Mikrozensus 2015 Tabellenpakete,,https://www.bfs.admin.ch/bfs/de/home/statistiken/mobilitaet-verkehr/personenverkehr/verkehrsverhalten/tabellen-2015.html,,,,,,
,,,,,,,,,,
Statistik Aargau,general statistics ,overview statistics Cantone of Aargau,,https://www.ag.ch/de/dfr/statistik/datenportal/filterabfrage/datenportal_filterabfrage.jsp?rewriteRemoteUrl=%2Fapp%2Fsajato-frontend%2Fselect,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
API Meteotest,,,,?,,,,,,
Swisstopo,,allgemeine Datensätze,,?,,,,,,
Swisstopo,,Gemeindegrenzen,,,https://map.geo.admin.ch/?layers=ch.swisstopo.swissboundaries3d-bezirk-flaeche.fill,,,linked data  http://ld.geo.admin.ch/ metadaten http://www.geocat.ch/geonetwork/srv/ger/catalog.search#/search?any=ch.swisstopo.swissboundaries3d-bezirk-flaeche.fill,,
Swisstopo,Adressen,Adressen,,https://data.geo.admin.ch/ch.bfs.gebaeude_wohnungs_register,https://map.geo.admin.ch/?layers=ch.bfs.gebaeude_wohnungs_register,,,Metadaten http://www.geocat.ch/geonetwork/srv/ger/catalog.search#/search?any=ch.bfs.gebaeude_wohnungs_register,,
Swisstopo,PLZ Ortschaften,PLZ Ortschaften,,https://data.geo.admin.ch/ch.swisstopo-vd.ortschaftenverzeichnis_plz/,https://map.geo.admin.ch/?layers=ch.swisstopo-vd.ortschaftenverzeichnis_plz,,,Metadaten http://www.geocat.ch/geonetwork/srv/ger/catalog.search#/search?any=ch.swisstopo-vd.ortschaftenverzeichnis_plz,,
Swisstopo,Namen/Flurnamen,Namen/Flurnamen,,https://data.geo.admin.ch/ch.swisstopo.swissnames3d,https://map.geo.admin.ch/?layers=ch.swisstopo.swissnames3d,,,Metadaten http://www.geocat.ch/geonetwork/srv/ger/catalog.search#/search?any=ch.swisstopo.swissnames3d,,
,,,,,,,,,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,https://opendata.swiss/en/organization/bundesamt-fur-meteorologie-und-klimatologie-meteoschweiz,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messnetz-atmosphaere download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,https://opendata.swiss/en/dataset/automatische-wetterstationen-aktuelle-messwerte,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messnetz-automatisch download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messnetz-beobachtungen download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messnetz-flugwetter download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messnetz-klima download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messnetz-manuell download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messnetz-partner download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messnetz-phaenologie download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messnetz-pollen download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messnetz-webcams download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messwerte-aktuell download metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messwerte-foehn-10min download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messwerte-globalstrahlung-10min download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messwerte-luftdruck-700hpa-flaeche-10min download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messwerte-luftdruck-850hpa-flaeche-10min download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messwerte-luftdruck-qfe-10min download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messwerte-luftdruck-qff-10min download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messwerte-luftdruck-qnh-10min download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messwerte-luftfeuchtigkeit-10min download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messwerte-lufttemperatur-10min download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messwerte-niederschlag-10min download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messwerte-sonnenscheindauer-10min download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messwerte-taupunkt-10min download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messwerte-wind-boeenspitze-kmh-10min download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.messwerte-windgeschwindigkeit-kmh-10min download preview metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.normwerttabellen download metadata,,
Meteo Schweiz,Wetter,Echtzeitdaten Meteoschweiz,,http://data.geo.admin.ch/ ,http://map.geo.admin.ch/?topic=meteoschweiz,,,ch.meteoschweiz.temperaturmittel-1864 download metadata,,
,,,,,,,,,,
Agroscope,Wetter,historical weather data 10min intervals,,http://www.agrometeo.ch/de/meteorology/datas,,,,,,
,,,,,,,,,,
,Wind Data,Reanalyse-Daten des DWD (gemeinsam mit den Unis Bonn und Köln erstellt und jetzt operationell weitergeführt) an. Diese Daten haben eine Auflösung von 6.2km und gehen bis 1995 zurück,,http://opendata.dwd.de/climate_environment/REA/COSMO_REA6/,https://reanalysis.meteo.uni-bonn.de,,,Website mit Erläuterungen und Links zu den Datensätzen,,
EPEX Strombörsendaten > Matthias Galus,,,,?,,,,,,
Wetterdaten SBB,Wetter,Zugriff auf die Wetterapi von meteomatics. Beschreibung der Parameter auf API.Meteomatics.com. Die Historie geht mehrere Jahre zurück und es sind unterschiedlichste Parameter verfügbar,realtime,weather.api.sbb.ch   Zugang ist beschrieben auf https://data.sbb.ch/pages/event/?flg=de,,,,,,
Stadt Aarau ,,?,,?,,,,,,
GeoProRegio,Versorgungsnetze,"GeoDatenshop Versorgungsunternehmen Aargau:

Stromnetz
Gasnetz
Abwasser
Wasser
Fernwärme",,https://www.geoproregio.ch/maps,,,,"Login mit folgenden Daten:

Benutzername: ZukunftAARGAU
Passwort: VW5qWFSuZe

weiter via ""Geodatenshop""
",,
GeoProRegio,,Nutzungsbedingungen,,https://www.geoproregio.ch/nutzungsbedingungen/nutzungsbedingungen,,,,,,
Eniwa eigene Daten,Energie produktion?,,,?,,,,,,
AEW eigene Daten,Energie produktion?,,,?,,,,,,
BVU Verkehrsfluss/Verkehrsdaten,Mobilität,,,?,,,,,,
"""Senozon""….",?,,,?,,,,,,
"GWR Daten, GESA",Gebäude Register,Gebäude- und Wohnungsregister (ganze Schweiz),,"https://www.housing-stat.ch/de/start.html

https://data.geo.admin.ch/ch.bfs.gebaeude_wohnungs_register/CSV/CH/CH.zip

",,,,direkter Download-Link,,
"GWR Daten, GESA",Gebäude Register,Gebäude- und Wohnungsregister (Aargau),,https://data.geo.admin.ch/ch.bfs.gebaeude_wohnungs_register/CSV/meta.txt,,,,"Kantonale oder
kommunale Teil-Downloads Liste",,
"GWR Daten, GESA",Energie Träger,Daten Energieträger nach gebäuden und Gemeinden,,,,,,als Excel File verfügbar,,
"GWR Daten, GESA",Energie Träger,"siehe auch für Aarau, Rheinfelden, Bremgarten unter ""GeoImpact""",,,,,,,,
,,,,,,,,,,
ARAMIS > Datenbank für Projekte finanziert durch Bund,,,,,,,,,,
BENEnergy,Haushalte,"Datensätze von Haushalten aus der Schweiz zu 37 Eigenschaften (z.B. Einstellung,
Haushaltsgrösse, Solaranlage); anonymisiert - keine Adresse

--
Insgesamt ca. 5'500 Datensätze",,https://bit.ly/2GcK5Lq,,,,,,
,,,,,,,,,,
ProNovo (Swissgrid-Daten),Einspeisevergütung,"Cockpit EVS (wichtigste Kennzahlen Einspeisevergütungssystem)
Cockpit EIV (Einmalvergütung) > wie auf Homepage angeboten
Cockpit HKN (Herkunftsnachweise) > wie auf Homepage angeboten
Statistik Kostendeckende Einspeisevergütung > wie auf Homepage angeboten",,https://pronovo.ch/de/services/berichte/#,,,,Daten Stromkennzeichnung via Mail erhalten! alle anderen Daten wie auf Homepage von Pronovo,,
ProNovo (Swissgrid-Daten),,Stromkennzeichnung > detailliert von 2010 bis 2018 als Excel File,,https://www.stromkennzeichnung.ch,,,,als Excel-File vorhanden,,
Sonnendach,Sonnenenergie,PV Potenzial,,https://www.uvek-gis.admin.ch/BFE/sonnendach/?lang=de,,,,,,
Swisssolar,Sonnenenergie,Solaranlagenverzeichnis,,https://www.swissolar.ch/ueber-solarenergie/solaranlagenverzeichnis/,,,,,,
"Forschungsprogramm Energie, Wirtschaft Gesellschaft BfE",,,,,,,,,,
GeoImpact,Sonnenenergie,"Solarpotenzial 
 Gebäudedaten (Baujahr, Renovationsjahr, Fläche, Anzahl
     Wohnungen etc.)
 Parzellendaten
 Unternehmensregister
 Stromtarife Elcom
 Etc.


für die Städte Aarau, Bremgarten und Rheinfelden",,https://www.dropbox.com/sh/8bqjhk4c3gz265s/AAAvk9G5ZTo30rFD1K-voT6Ja?dl=0,,,,Daten in Dropbox hinterlegt,,
SolarCampus: Tachion (Stephan Mathez),Sonnenenergie?,,,,,,,,,
Vela Solaris (Polysun),Sonnenenergie?,,,,,,,,,
PSI (H.Panos),?,,,,,,,,,
Protoscar/EVTec,?,,,,,,,,,
SUPSI,?,,,,,,,,,
"Daten aus ""Swiss2grid"" Programm",Swiss2grid,,,http://www.s2g.ch/?lang=en,,,,,,
opendata Swiss,,,,https://opendata.swiss/de/,,,,,,
,,,,,,,,,,
GeoAdmin.ch,Wind Potential CH,,,https://data.geo.admin.ch/ch.bfe.windenergie-potenzialgebiete/,,,,,,
GeoAdmin.ch,Heat Demand Housholds and Services Switzerland,,,https://map.geo.admin.ch/?layers=ch.bfe.fernwaerme-nachfrage_wohn_dienstleistungsgebaeude&lang=de&topic=ech&bgLayer=ch.swisstopo.pixelkarte-farbe&layers_opacity=0.75&E=2646117.76&N=1248467.56&zoom=9,,,,,,
GeoAdmin.ch,Heat Demand Industry Switzerland,,,https://map.geo.admin.ch/?layers=ch.bfe.fernwaerme-nachfrage_industrie&lang=de&topic=ech&bgLayer=ch.swisstopo.pixelkarte-farbe&layers_opacity=0.75&E=2635764.95&N=1240153.35&zoom=8,,,,,,
GeoAdmin.ch,"Wärmenetz, district heating, supply",,,https://map.geo.admin.ch/?layers=ch.bfe.fernwaerme-angebot&lang=de&topic=ech&bgLayer=ch.swisstopo.pixelkarte-farbe&E=2633441.18&N=1267797.30&zoom=5,,,,,,
GeoAdmin.ch,"Wärmenetz, district heating",,,https://map.geo.admin.ch/?layers=ch.bfe.thermische-netze&lang=de&topic=ech&bgLayer=ch.swisstopo.pixelkarte-farbe&E=2625581.05&N=1267348.71&zoom=6,,,,,,
GeoAdmin.ch,catalog,Katalog aller Daten,,https://www.geo.admin.ch/de/geoinformation-schweiz/verzeichnis-inspire/energie-und-wirtschaft/energiequellen.html,,,,Als Web Dienste via Rest Schnittstelle  : via api.3.geo.admin.ch,,
GeoAdmin.ch,catalog,Katalog aller Daten,,"http://www.bfe.admin.ch/geoinformation/05061/index.html?lang=de
",,,,Als Web Dienste via Rest Schnittstelle  : via api.3.geo.admin.ch,,
GeoAdmin.ch,,Download,,"https://opendata.swiss/en/dataset?organization=bundesamt-fur-energie-bfe&q=ch.bfe
",,,,Als Web Dienste via Rest Schnittstelle  : via api.3.geo.admin.ch,,
GeoAdmin.ch,,Download,,"https://data.geo.admin.ch/
",,,,Als Web Dienste via Rest Schnittstelle  : via api.3.geo.admin.ch,,
GeoAdmin.ch,catalog,Energiedaten,,"https://www.geo.admin.ch/de/geoinformation-schweiz/verzeichnis-inspire/energie-und-wirtschaft/energiequellen.html

http://www.bfe.admin.ch/geoinformation/05061/index.html?lang=de

",,,,Als Web Dienste via Rest Schnittstelle  : via api.3.geo.admin.ch,,
GeoAdmin.ch,catalog,Datenviewer,,"https://map.geo.admin.ch/?lang=en&topic=energie
",,,,Als Web Dienste via Rest Schnittstelle  : via api.3.geo.admin.ch,,
GeoAdmin.ch,Hydrological Data,,,https://data.geo.admin.ch/ch.bafu.hydrogeologie-uebersichtskarte/,,,,,,
GeoAdmin.ch,Zugverkehr,Schienendaten,,https://data.geo.admin.ch/ch.bav.schienennetz/,,,,,,
Opentransportdata.ch,Zugverkehr,"Stationsnamen und Haltestellen
Anzahl GA und Halbtax bis ins Jahr 2017
GTFS Realtime
Fahrpläne
",,https://opentransportdata.swiss/de/,,,,,,
Geocat.ch,,,,https://www.geocat.ch/geonetwork/srv/ger/catalog.search#/home,,,,,,
AEW,Lichtwellenleiter,AEW Leitungskataster Lichtwellenleiter,,,,,,"Im Feld ""Katalog(e)"" ""AEW Energie AG"" eintragen",,
AEW,Fernwärme,AEW Leitungskataster FErnwärme,,,,,,"Im Feld ""Katalog(e)"" ""AEW Energie AG"" eintragen",,
AEW,Strom,AEW Leitungskataster Strom,,,,,,"Im Feld ""Katalog(e)"" ""AEW Energie AG"" eintragen",,
