ID,Verified,Topic,Type,Title,Description,Link,Formats,Permissions,Organisation,Example,Contact,Comment
1656,,Catalog,Dataset,Open Energy Data Collection,Repository containing an overview of available open energy data. Orginizied along the supply chain.,https://github.com/SFOE/open_energy_data/blob/master/open_energy_data.md,,Open,Swiss Federal Office of Energy and Geoimpact,,,
1637,,Blockchain,Dataset,BitinfoCharts,Miners revenue timeseries,https://bitinfocharts.com,,,,,,
1612,,Catalog,Dataset,Aargau Datenportal,overview statistics Cantone of Aargau,https://www.ag.ch/de/dfr/statistik/datenportal/filterabfrage/datenportal_filterabfrage.jsp?rewriteRemoteUrl=%2Fapp%2Fsajato-frontend%2Fselect,,,Statistik Aargau,,,
1520,,Catalog,Dataset,ARAMIS,"Research, innovation and evaluation projects funded or conducted by the Confederation. Hier haben Sie die Möglichkeit, die öffentliche Daten aus ARAMIS zu exportieren in den Formaten: Excel CSV JSON",https://www.aramis.admin.ch,"CSV,JSON,XLS",Open,Bund,https://www.aramis.admin.ch,,"Im ARAMIS-Grafiktool haben Sie die Möglichkeit, Grafiken aus den ARAMIS-Daten zu generieren und sich diese in verschiedenen Formaten ausgeben zu lassen: https://sar-service.sahli-interactive.ch/"
1569,,Catalog,Dataset,Bundesamt für Energie,,https://opendata.swiss/en/dataset?organization=bundesamt-fur-energie-bfe&q=ch.bfe ,API,,opendata.swiss,,,Als Web Dienste via Rest Schnittstelle  : via api.3.geo.admin.ch
1636,,Catalog,Dataset,catalog Zürich,"Bevölkerung (Linked open statistical Data, Daten ZüriZahlen App) Bauen und Wohnen (Fernwärmegebiete, Gasrückzugsgebiete, Linked Open statistical data) Mobilität (Standorte autom.Zählgeräte, Linked open statistical Data, Daten Velozählstelle,...) Umwelt Energie (Linked open statistical data, Beleuchtung, Wasser-&Gasversorgung) ",https://data.stadt-zuerich.ch/,"WMS,WFS,JSON,XML,PDF",,Zürich,,Matthias Eifert,"wms, wfs, json, xml, pdf, csv, kmz, gpkg"
1570,,Catalog,Dataset,Energiedaten,Datenviewer,https://map.geo.admin.ch/?lang=en&topic=energie ,API,,GeoAdmin.ch,,,Als Web Dienste via Rest Schnittstelle  : via api.3.geo.admin.ch
1571,,Catalog,Dataset,Energiedaten,Katalog aller Daten,https://www.geo.admin.ch/de/geoinformation-schweiz/verzeichnis-inspire/energie-und-wirtschaft/energiequellen.html,API,,GeoAdmin.ch,,,Als Web Dienste via Rest Schnittstelle  : via api.3.geo.admin.ch
1572,,Catalog,Dataset,Energiedaten,Katalog aller Daten,http://www.bfe.admin.ch/geoinformation/05061/index.html?lang=de ,API,,BFE,,,Als Web Dienste via Rest Schnittstelle  : via api.3.geo.admin.ch
1634,,Catalog,Dataset,Energy Data by country,General Datasets about countries and regions,https://data.worldbank.org/,,,Worldbank,,,
1635,,Catalog,Dataset,Energy Data by country,General Datasets about countries and regions,https://datacatalog.worldbank.org/  ,,,Worldbank,,,
1563,,Catalog,Dataset,Heat Demand Housholds and Services Switzerland,,https://map.geo.admin.ch/?layers=ch.bfe.fernwaerme-nachfrage_wohn_dienstleistungsgebaeude&lang=de&topic=ech&bgLayer=ch.swisstopo.pixelkarte-farbe&layers_opacity=0.75&E=2646117.76&N=1248467.56&zoom=9,,,GeoAdmin.ch,,,
1566,,Catalog,Dataset,Heat Demand Industry Switzerland,,https://map.geo.admin.ch/?layers=ch.bfe.fernwaerme-nachfrage_industrie&lang=de&topic=ech&bgLayer=ch.swisstopo.pixelkarte-farbe&layers_opacity=0.75&E=2635764.95&N=1240153.35&zoom=8,,,GeoAdmin.ch,,,
1565,,Catalog,Dataset,Hydrological Data,,https://data.geo.admin.ch/ch.bafu.hydrogeologie-uebersichtskarte/,,,GeoAdmin.ch,,,
1595,,Catalog,Dataset,Netztransparenz.de,Informationsplattform der deutschen Uebertragungsnetzbetreiber,https://www.netztransparenz.de/,,,Netztransparenz.de,,Matthias Eifert,
1585,,Catalog,Dataset,SCCER – JASM," The Joint Activity Scenarios and Modelling (JASM) aims at providing a set of robust scenarios for the realization of the Swiss Energy Strategy 2050. The modeling groups of the 8 Swiss Competence Centers for Energy Research (SCCER) work together and bring in their respective experience in the field of electricity generation technologies, buildings, mobility, industry, grids, biomass, storage and economy: ",https://data.sccer-jasm.ch/,,,Jasm SCCER,,,
1564,,Catalog,Dataset,"Wärmenetz,district heating",,https://map.geo.admin.ch/?layers=ch.bfe.thermische-netze&lang=de&topic=ech&bgLayer=ch.swisstopo.pixelkarte-farbe&E=2625581.05&N=1267348.71&zoom=6,,,GeoAdmin.ch,,,
1568,,Catalog,Dataset,"Wärmenetz,district heating,supply",,https://map.geo.admin.ch/?layers=ch.bfe.fernwaerme-angebot&lang=de&topic=ech&bgLayer=ch.swisstopo.pixelkarte-farbe&E=2633441.18&N=1267797.30&zoom=5,,,GeoAdmin.ch,,,
1547,,Catalog,Dataset,Wikipedia – Open energy system databases,Overview of different open energy data sets,https://en.wikipedia.org/wiki/Open_energy_system_databases,,,Wikipedia,,,
1567,,Catalog,Dataset,Wind Potential CH,,https://data.geo.admin.ch/ch.bfe.windenergie-potenzialgebiete/,,,GeoAdmin.ch,,,
1562,,Catalog,Dataset,"Zugverkehr, Schienendaten",,https://data.geo.admin.ch/ch.bav.schienennetz/,,,GeoAdmin.ch,,,
1531,,"Catalog,Bern",Dataset,Statistik Bevölkerung,"Statistik Bevölkerung (Haushalte, demographische Merkmale, Prognosen....) Volkswirtschaft (Volkseinkommen, GDP/BIP) Energie (Gas-&Wasserversorgung, KVA, FErnwärme, Elektrizitätswerk) Mobilität (Verkehrszählungen, Motorfahrzeuge, öV, Strassennetz)",https://www.bern.ch/open-government-data-ogd/ogd-nach-themen,"XLS,PDF",,Bern,,Matthias Eifert,"excel, PDF"
1513,,"Catalog,Deutschland",Dataset,50Hertz,50Hertz betreibt das Stromübertragungsnetz im Norden und Osten Deutschlands,https://www.50hertz.com/de/Transparenz/Kennzahlen,CSV,,50Hertz,,Matthias Eifert,https://www.50hertz.com/ Google suche: site:https://www.50hertz.com CSV
1652,,"Catalog,Deutschland","Dataset,Visualization",BDEW Bundesverband der Energie- und Wasserwirtschaft e.V.,"Der BDEW erhebt, analysiert und bereitet die Markt- und Basisdaten der Branche auf. Damit machen wir Branchenentwicklungen transparent und liefern relevante Zahlen als Unterstützung für die fachliche Arbeit.",https://www.bdew.de/service/daten-und-grafiken/,,,,,,
1526,,"Catalog,Deutschland",Dataset,catalog Berlin,Home/Uebersicht,https://daten.berlin.de/datensaetze,,,Berlin,,Matthias Eifert Oleg Lavrovski,
1592,,"Catalog,Deutschland",Dataset,Catalog München,Bevölkerung /Transport/Verkehr / Umwelt/Klima/ Geobasisdaten /Infrastruktur,https://www.opengov-muenchen.de/,"CSV,JSON",,München,,Matthias Eifert,
1529,,"Catalog,Deutschland",Dataset,Daten.Berlin.de,"Verkehr Verkehr und Personenaufkommen (Parkplatzbelegung, Bewegungsdaten) eMobility Ladestationen öV Linien öV Fahrplan Smart City Berlin Ernst Reuter Platz",https://daten.berlin.de/kategorie/verkehr  http://flow.dai-labor.de/datasets/,"API,GTFS",,Berlin,,Matthias Eifert Oleg Lavrovski,Fahrplandaten via API und GTFS
