ID,Title,Description,Topic,Type,Link,Formats,Permissions,Organisation,Contact
1636,catalog Zürich,"Bevölkerung (Linked open statistical Data, Daten ZüriZahlen App) Bauen und Wohnen (Fernwärmegebiete, Gasrückzugsgebiete, Linked Open statistical data) Mobilität (Standorte autom.Zählgeräte, Linked open statistical Data, Daten Velozählstelle,...) Umwelt Energie (Linked open statistical data, Beleuchtung, Wasser-&Gasversorgung) ",Catalog,Dataset,https://data.stadt-zuerich.ch/,"WMS,WFS,JSON,XML,PDF",,Zürich,Matthias Eifert
1651,eCO2mix,"All of France's electricity data in real time - eCO2mix
Curves and graphs for on-screen viewing, data you can download or print out, detailed breakdowns of power generated by photovoltaic, solar, hydro, fossil-fuelled and nuclear facilities … More than 15 million data items have been compiled to provide you with all this information in summarised form.","Echtzeit,Distribution,CO2,France,Netzdaten,Netzkennzahlen,Production,Energiekennzahlen","Visualization,Dataset,Data Analysis",https://www.rte-france.com/en/eco2mix,Various,Open,www.rte-france.com Réseau de Transport d’Electricité français,
1634,Energy Data by country,General Datasets about countries and regions,Catalog,Dataset,https://data.worldbank.org/,,,Worldbank,
1635,Energy Data by country,General Datasets about countries and regions,Catalog,Dataset,https://datacatalog.worldbank.org/  ,,,Worldbank,
1547,Wikipedia – Open energy system databases,Overview of different open energy data sets,Catalog,Dataset,https://en.wikipedia.org/wiki/Open_energy_system_databases,,,Wikipedia,
1633,SBB Wetterapi von meteomatics,Zugriff auf die Wetterapi von meteomatics. Beschreibung der Parameter auf API.Meteomatics.com. Die Historie geht mehrere Jahre zurück und es sind unterschiedlichste Parameter verfügbar,"Wetter,Echtzeit,Klimadaten",Dataset,https://weather.api.sbb.ch,,,Wetterdaten SBB,Christian Trachsel Matthias Rücker
1631,Opendata.dwd.de,Reanalyse-Daten des DWD (gemeinsam mit den Unis Bonn und Köln erstellt und jetzt operationell weitergeführt) an. Diese Daten haben eine Auflösung von 6.2km und gehen bis 1995 zurück,"Wind Energie,Deutschland",Dataset,http://opendata.dwd.de/climate_environment/REA/COSMO_REA6/,,,Uni Bonn,
1630,tscnet.eu,Informationsplattform der Transmission System Operator Security Cooperation (TSC).,Europe,Dataset,https://www.tscnet.eu/,,,Tschet.eu,Matthias Eifert
1628,TransnetBW.de,"Kennzahlen (Einspeisung Wind, Einspeisung Photovoltaik, EEG Intraday, Differenz Einspeisungsprognose zu vermarkteter Menge) ","Netzkennzahlen,Wind Energie,Sonnenenergie",Dataset,https://www.transnetbw.de/de/transparenz/marktdaten/kennzahlen,,,TransnetBW,Matthias Eifert
1627,Adressen,,"Geodaten,Gebäude",Dataset,https://data.geo.admin.ch/ch.bfs.gebaeude_wohnungs_register,,,Swisstopo,
1626,Gemeindegrenzen,,"Geodaten,Gemeinde",Dataset,https://map.geo.admin.ch/?layers=ch.swisstopo.swissboundaries3d-bezirk-flaeche.fill,,,Swisstopo,André Golliez
1624,Namen/Flurnamen,,Geodaten,Dataset,https://data.geo.admin.ch/ch.swisstopo.swissnames3d,,,Swisstopo,André Golliez
1625,PLZ Ortschaften,,Geodaten,Dataset,https://data.geo.admin.ch/ch.swisstopo-vd.ortschaftenverzeichnis_plz/,,,Swisstopo,André Golliez
1623,Swisssolar.ch,Solaranlagenverzeichnis,"Sonnenenergie,Anlagen",Dataset,https://www.swissolar.ch/ueber-solarenergie/solaranlagenverzeichnis/,,,Swisssolar,
1622,SwissRe,"Sigma Explorer - regional market structures and long-term premium growth trends in the global re/insurance industry - interactive sigma explorer tool to visualise and share historical data about natural and man made catastrophes, the number of lives lost and world re/insurance premiums going as far back as 1970","Re-insurance,Katastrophen",Dataset,https://www.swissre.com/institute/research/sigma-research.html,,,SwissRe,
1621,Swissgrid Data,"Uebertragung (Importe, Exporte, Verluste)",Uebertragung,Dataset,https://www.swissgrid.ch/de/home/operation/grid-data/transmission.html,XLS,,Swissgrid,
1618,Swissgrid Daten,Tarife und Vergütungssätze für das Uebertragungsnetz,"Preise,Tarife",Dataset,https://www.swissgrid.ch/de/home/customers/topics/tariffs.html,PDF,,Swissgrid,
1616,Swissgrid Daten,Netzdaten allg,Netzdaten,Dataset,https://www.swissgrid.ch/de/home/operation/grid-data.html,,,Swissgrid,
1620,Swissgrid Daten,"Energieübersicht Schweiz: monatliche Daten zu Produktion, Verbrauch, Endverbrauch","Schweiz,Stromproduktion,monatlich,Energiekennzahlen",Dataset,https://www.swissgrid.ch/de/home/operation/grid-data/generation.html,XLS,,Swissgrid,
1619,Swissgrid Netzkennzahlen,"Frequenz, Importe, Exporte, Wide Area Monitoring",Netzkennzahlen,Dataset,https://www.swissgrid.ch/de/home/operation/grid-data/current-data.html,XLS,,Swissgrid,
1617,Swissgrid.ch Frequenzstatistik,Frequenzstatistik 2003 bis 2018,Frequenz,Dataset,https://www.swissgrid.ch/de/home/customers/topics/frequency-statistic.html,PDF,,Swissgrid,
1615,Swisscom Open Data,"Mobilität (Fahrten auf Autobahnen, Reisedistanzen pro Tag Kommunikation (Breitbandanschlüsse in Gemeinden, Heatmaps, Netzwerk ",Mobilität,Dataset,https://opendata.swisscom.com/explore/?sort=title&refine.language=de,,,Swisscom OpenData,Matthias Eifert
1543,"Daten aus ""Swiss2grid"" Programm","The main objective is to demonstrate an innovative concept, Smart Grid, which hypothesises intelligent decentralised grid management,  based on individual junction regulation and, in order to reduce the level of complexity of the system, controlled by a light infrastructure.",Smart grid,Dataset,http://www.s2g.ch/?lang=en,,,Swiss2grid,
1656,Open Energy Data Collection,Repository containing an overview of available open energy data. Orginizied along the supply chain.,,Dataset,https://github.com/SFOE/open_energy_data/blob/master/open_energy_data.md,,Open,Swiss Federal Office of Energy and Geoimpact,
1613,OpenVVS.de,Verkehr,"Catalog,Deutschland",Dataset,https://www.openvvs.de/,,,Stuttgart,Matthias Eifert Oleg Lavrovski
1614,Stuttgart Datenportal,Testdaten: Liegenschaftskataster Fahrradkarte Luftbilder Stadtplan/Stadtkarte Stuttgart 3D ,"Catalog,Deutschland",Dataset,https://www.stuttgart.de/geoportal,,,Stuttgart,Matthias Eifert Oleg Lavrovski
1612,Aargau Datenportal,overview statistics Cantone of Aargau,Catalog,Dataset,https://www.ag.ch/de/dfr/statistik/datenportal/filterabfrage/datenportal_filterabfrage.jsp?rewriteRemoteUrl=%2Fapp%2Fsajato-frontend%2Fselect,,,Statistik Aargau,
1611,Solarpotenzial in der Schweiz,Dach für jede Schweizer Gemeinde,"Sonnenenergie,Potenzial",Dataset,"https://map.geo.admin.ch/?lang=de&topic=energie&bgLayer=ch.swisstopo.swissimage&catalogNodes=2419,2420,2427,2480,2429,2431,2434,2436,2767,2441,3206&layers=ch.bfe.solarenergie-eignung-daecher",,,Sonnendach.ch,
1610,UVEK GIS,PV Potenzial,"Sonnenenergie,Potenzial",Dataset,https://www.uvek-gis.admin.ch/BFE/sonnendach/?lang=de,,,Sonnendach,
1609,data.sbb.ch,"Katalog offenen SBB Daten (~60 data packages), e.g.  spezifische Verbrauchswerte pro Trassenabschnitt und Fahrzeugtypen / Komposition für Personenzüge  Meteodaten entlang eines Trassenabschnitts  Daten zu den Zugkompositionen und Auslastungsdaten","Catalog,Verkehr,Bahn",Dataset,https://data.sbb.ch/pages/home/,,,SBB,Matthias Rücker
1608,Netzkennzahlen Energy Frankreich,"Generation (Forecast, Storage Park, Actual Generation, installed Capac) Consumption (consolidated, demand response, Physical Showcases, tempo like supply contract) Market (demand response signal, imbalance reconstitution, balancing capacity, wholesale Market, balancing energy, consumption control measure, ...)","Catalog,France,Netzkennzahlen",Dataset,https://data.rte-france.com/catalog/all_categories,API,,RTE,Oleg Lavrovsky
1605,Einspeisevergütung,Cockpit EVS (wichtigste Kennzahlen Einspeisevergütungssystem) Cockpit EIV (Einmalvergütung) > wie auf Homepage angeboten Cockpit HKN (Herkunftsnachweise) > wie auf Homepage angeboten Statistik Kostendeckende Einspeisevergütung > wie auf Homepage angeboten,Preise,Dataset,https://pronovo.ch/de/services/berichte/#,,,ProNovo (Swissgrid-Daten),Matthias Eifert
1606,Strom,Stromkennzeichnung > detailliert von 2010 bis 2018 als Excel File,Strom,Dataset,https://www.stromkennzeichnung.ch,XLS,,ProNovo (Swissgrid-Daten),
1604,residential energy and water data,"Dataport provides access to a variety of residential energy and water data collected through Pecan Street’s research network, including:  whole-home and circuit-level energy use; one-second circuit-level energy use; HVAC use; refrigerator and other appliance use; electric vehicle charging behavior; solar generation; real power, apparent power, THD, voltage, phase angle data; sub-minute whole-home water use; household demographic and home survey data","Klimadaten,Haushalte,Wasser / Gasversorgung",Dataset,https://www.pecanstreet.org https://www.pecanstreet.org/dataport/,,,Pecan Street Data Port,
1603,Climate Data,"Own data sets and various third party data sets such as: artic regions (ice thickness,...), Climate Data NASA, Climate Dta NOAA, coastal floodings,  power plant generation and emission, Climate/Health",Klimadaten,Dataset,https://www.pecanstreet.org/dataport/about/,,,Pecan Street,
1602,Zugverkehrdaten,Stationsnamen und Haltestellen Anzahl GA und Halbtax bis ins Jahr 2017 GTFS Realtime Fahrpläne ,Mobilität,Dataset,https://opentransportdata.swiss/de/,,,Opentransportdata.ch,Christian Trachsel
1601,OSM.ch,"Offene Karten, offene Geodaten und freie Geo-Services.",Karten,Dataset,https://osm.ch/,,,OpenStreetMap,https://osm.ch/hilfe.html (and Stefan Keller)
1600,OpenEI.org,Different and various data sets,Smart grid,Dataset,https://openei.org/datasets/dataset?sectors=smartgrid,,,OpenEi.org,
1569,Bundesamt für Energie,,Catalog,Dataset,https://opendata.swiss/en/dataset?organization=bundesamt-fur-energie-bfe&q=ch.bfe ,API,,opendata.swiss,
1650,Windatlas,Windatlas Schweiz (50m und 100m über Grund),"Wind Energie,Klimadaten",Dataset,https://opendata.swiss/de/dataset/windatlas-schweiz-jahresmittel-der-modellierten-windgeschwindigkeit-und-windrichtung-in-50-m-ho,,,Opendata.swiss,
1544,Household Data,"Messdaten von Haushalten in Süddeutschland, zum Teil bis auf Ebene Geräte aufgeschlüsselt","Deutschland,Haushalte",Dataset,https://data.open-power-system-data.org/household_data/,,,Open Power System,
1599,Catalog energy consumption,"Public data sets on household energy consumption data into individual appliances, also known as Non-intrusive Appliance Load Monitoring (NIALM) or energy disaggregation  Almanac of Minutely Power Dataset Berkeley Energy Disaggregation Dat Set Controlled On/Off Loads library dataset Dataport database Dutch Residential Energy Dataset Electricity Consumption & Occupancy data set GREEND Dataset Household Electricity Use Study EDF Individual household electric power consumption data set Smart Home Data Set REFIT Electrical Load Measurements dataset UK Domestic Appliance Level Electricity dataset","Catalog,UK",Dataset,http://blog.oliverparson.co.uk/2012/06/public-data-sets-for-nialm.html,,,NIALM (Non-instrusive Appliance Load Monitoring),
